n,addr,raw_sample,scaled_sample,sd_out
265,271,31243,23432,1
266,272,31035,23276,1
267,273,30817,23112,1
268,274,30590,22942,0
269,275,30355,22766,0
270,276,30113,22584,1
271,277,29865,22398,1
272,278,29611,22208,1
273,279,29352,22014,1
274,280,29090,21817,1
275,281,28826,21619,1
276,282,28559,21419,1
277,283,28292,21219,1
278,284,28024,21018,1
279,285,27758,20818,1
280,286,27493,20619,0
281,287,27230,20422,0
282,288,26971,20228,1
283,289,26715,20036,1
284,290,26464,19848,1
285,291,26218,19663,1
286,292,25978,19483,1
287,293,25745,19308,1
288,294,25519,19139,1
289,295,25300,18975,1
290,296,25089,18816,1
291,297,24886,18664,0
292,299,24692,18519,0
293,300,24332,18249,1
294,301,24166,18124,1
295,302,24010,18007,1
296,303,23864,17898,1
297,304,23728,17796,1
298,305,23602,17701,1
299,306,23486,17614,1
300,307,23381,17535,0
301,308,23285,17463,0
302,309,23199,17399,1
303,310,23124,17343,1
304,311,23058,17293,1
305,312,23002,17251,1
306,313,22955,17216,1
307,314,22918,17188,1
308,315,22889,17166,0
309,316,22870,17152,0
310,317,22859,17144,1
311,318,22856,17142,1
312,319,22862,17146,1
313,320,22875,17156,1
314,321,22896,17172,1
315,322,22924,17193,1
316,323,22958,17218,1
317,324,22999,17249,0
318,325,23047,17285,0
319,326,23100,17325,1
320,327,23159,17369,1
321,328,23223,17417,1
322,329,23292,17469,1
323,330,23365,17523,1
324,331,23443,17582,1
325,332,23525,17643,0
326,333,23610,17707,0
327,334,23699,17774,1
328,335,23791,17843,1
329,336,23886,17914,1
330,337,23984,17988,1
331,338,24084,18063,1
332,339,24185,18138,1
333,340,24289,18216,1
334,342,24394,18295,0
335,343,24609,18456,0
336,344,24717,18537,1
337,345,24826,18619,1
338,346,24936,18702,1
339,347,25046,18784,1
340,348,25156,18867,1
341,349,25267,18950,1
342,350,25376,19032,1
343,351,25486,19114,0
344,352,25595,19196,0
345,353,25703,19277,1
346,354,25810,19357,1
347,355,25917,19437,1
348,356,26022,19516,1
349,357,26126,19594,1
350,358,26229,19671,1
351,359,26330,19747,1
352,360,26429,19821,1
353,361,26527,19895,0
354,362,26623,19967,0
355,363,26717,20037,1
356,364,26810,20107,1
357,365,26900,20175,1
358,366,26987,20240,1
359,367,27073,20304,1
360,368,27156,20367,1
361,369,27237,20427,1
362,370,27315,20486,1
363,371,27390,20542,0
364,372,27463,20597,0
365,373,27533,20649,1
366,374,27600,20700,1
367,375,27665,20748,1
368,376,27726,20794,1
369,377,27785,20838,1
370,378,27840,20880,1
371,379,27892,20919,1
372,380,27941,20955,1
373,381,27987,20990,1
374,382,28029,21021,0
375,383,28068,21051,0
376,385,28104,21078,1
377,386,28164,21123,1
378,387,28189,21141,1
379,388,28211,21158,1
380,389,28228,21171,1
381,390,28242,21181,1
382,391,28252,21189,1
383,392,28259,21194,1
384,393,28261,21195,1
385,394,28260,21195,0
386,395,28255,21191,0
387,396,28245,21183,1
388,397,28232,21174,1
389,398,28215,21161,1
390,399,28193,21144,1
391,400,28168,21126,1
392,401,28138,21103,1
393,402,28105,21078,1
394,403,28067,21050,1
395,404,28024,21018,1
396,405,27978,20983,1
397,406,27927,20945,0
398,407,27872,20904,0
399,408,27813,20859,1
400,409,27749,20811,1
401,410,27681,20760,1
402,411,27609,20706,1
403,412,27532,20649,1
404,413,27451,20588,1
405,414,27365,20523,1
406,415,27275,20456,1
407,416,27180,20385,1
408,417,27081,20310,0
409,418,26978,20233,0
410,419,26870,20152,1
411,420,26757,20067,1
412,421,26640,19980,1
413,422,26519,19889,1
414,423,26393,19794,1
415,424,26262,19696,1
416,425,26127,19595,1
417,427,25988,19491,1
418,428,25696,19272,0
419,429,25543,19157,0
420,430,25385,19038,1
421,431,25223,18917,1
422,432,25057,18792,1
423,433,24886,18664,1
424,434,24710,18532,1
425,435,24531,18398,1
426,436,24347,18260,1
427,437,24158,18118,0
428,438,23965,17973,0
429,439,23768,17826,1
430,440,23566,17674,1
431,441,23360,17520,1
432,442,23150,17362,1
433,443,22935,17201,1
434,444,22716,17037,1
435,445,22493,16869,1
436,446,22266,16699,0
437,447,22035,16526,0
438,448,21799,16349,1
439,449,21560,16170,1
440,450,21316,15987,1
441,451,21068,15801,1
442,452,20817,15612,1
443,453,20561,15420,1
444,454,20301,15225,0
445,455,20038,15028,0
446,456,19771,14828,1
447,457,19499,14624,1
448,458,19225,14418,1
449,459,18946,14209,1
450,460,18664,13998,1
451,461,18378,13783,0
452,462,18088,13566,0
453,463,17795,13346,1
454,464,17499,13124,1
455,465,17199,12899,1
456,466,16896,12672,1
457,467,16589,12441,1
458,468,16279,12209,0
459,470,15966,11974,0
460,471,15331,11498,1
461,472,15009,11256,1
462,473,14683,11012,1
463,474,14355,10766,1
464,475,14024,10518,0
465,476,13690,10267,0
466,477,13353,10014,1
467,478,13014,9760,1
468,479,12672,9504,1
469,480,12328,9246,1
470,481,11981,8985,0
471,482,11632,8724,0
472,483,11280,8460,1
473,484,10926,8194,1
474,485,10570,7927,1
475,486,10211,7658,1
476,487,9851,7388,0
477,488,9489,7116,0
478,489,9125,6843,0
479,490,8758,6568,1
480,491,8391,6293,1
481,492,8021,6015,1
482,493,7650,5737,1
483,494,7277,5457,0
484,495,6903,5177,0
485,496,6527,4895,1
486,497,6150,4612,1
487,498,5772,4329,1
488,499,5392,4044,0
489,500,5012,3759,0
490,501,4630,3472,0
491,502,4248,3186,1
492,503,3864,2898,1
493,504,3480,2610,1
494,505,3095,2321,1
495,506,2710,2032,0
496,507,2324,1743,0
497,508,1937,1452,0
498,509,1550,1162,1
499,510,1163,872,1
500,511,775,581,1
501,513,388,291,0
502,514,-388,32767,0
503,515,-775,32767,0
504,516,-1163,32767,1
505,517,-1550,32767,1
506,518,-1937,32767,1
507,519,-2324,32767,1
508,520,-2710,32767,1
509,521,-3095,32767,1
510,522,-3480,32767,1
511,523,-3864,32767,1
512,524,-4248,32767,1
513,525,-4630,32767,1
514,526,-5012,32767,1
515,527,-5392,32767,1
516,528,-5772,32767,1
517,529,-6150,32767,1
518,530,-6527,32767,1
519,531,-6903,32767,1
520,532,-7277,32767,1
521,533,-7650,32767,1
522,534,-8021,32767,1
523,535,-8391,32767,1
524,536,-8758,32767,1
525,537,-9125,32767,1
526,538,-9489,32767,1
527,539,-9851,32767,1
528,540,-10211,32767,1
529,541,-10570,32767,1
530,542,-10926,32767,1
531,543,-11280,32767,1
532,544,-11632,32767,1
533,545,-11981,32767,1
534,546,-12328,32767,1
535,547,-12672,32767,1
536,548,-13014,32767,1
537,549,-13353,32767,1
538,550,-13690,32767,1
539,551,-14024,32767,1
540,552,-14355,32767,1
541,553,-14683,32767,1
542,555,-15009,32767,1
543,556,-15650,32767,1
544,557,-15966,32767,1
545,558,-16279,32767,1
546,559,-16589,32767,1
547,560,-16896,32767,1
548,561,-17199,32767,1
549,562,-17499,32767,1
550,563,-17795,32767,1
551,564,-18088,32767,1
552,565,-18378,32767,1
553,566,-18664,32767,1
554,567,-18946,32767,1
555,568,-19225,32767,1
556,569,-19499,32767,1
557,570,-19771,32767,1
558,571,-20038,32767,1
559,572,-20301,32767,1
560,573,-20561,32767,1
561,574,-20817,32767,1
562,575,-21068,32767,1
563,576,-21316,32767,1
564,577,-21560,32767,1
565,578,-21799,32767,1
566,579,-22035,32767,1
567,580,-22266,32767,1
568,581,-22493,32767,1
569,582,-22716,32767,1
570,583,-22935,32767,1
571,584,-23150,32767,1
572,585,-23360,32767,1
573,586,-23566,32767,1
574,587,-23768,32767,1
575,588,-23965,32767,1
576,589,-24158,32767,1
577,590,-24347,32767,1
578,591,-24531,32767,1
579,592,-24710,32767,1
580,593,-24886,32767,1
581,594,-25057,32767,1
582,595,-25223,32767,1
583,596,-25385,32767,1
584,598,-25543,32767,1
585,599,-25844,32767,1
586,600,-25988,32767,1
587,601,-26127,32767,1
588,602,-26262,32767,1
589,603,-26393,32767,1
590,604,-26519,32767,1
591,605,-26640,32767,1
592,606,-26757,32767,1
593,607,-26870,32767,1
594,608,-26978,32767,1
595,609,-27081,32767,1
596,610,-27180,32767,1
597,611,-27275,32767,1
598,612,-27365,32767,1
599,613,-27451,32767,1
600,614,-27532,32767,1
601,615,-27609,32767,1
602,616,-27681,32767,1
603,617,-27749,32767,1
604,618,-27813,32767,1
605,619,-27872,32767,1
606,620,-27927,32767,1
607,621,-27978,32767,1
608,622,-28024,32767,1
609,623,-28067,32767,1
610,624,-28104,32767,1
611,625,-28138,32767,1
612,626,-28168,32767,1
613,627,-28193,32767,1
614,628,-28215,32767,1
615,629,-28232,32767,1
616,630,-28245,32767,1
617,631,-28254,32767,1
618,632,-28260,32767,1
619,633,-28261,32767,1
620,634,-28258,32767,1
621,635,-28252,32767,1
622,636,-28242,32767,1
623,637,-28228,32767,1
624,638,-28210,32767,1
625,639,-28188,32767,1
626,641,-28163,32767,1
627,642,-28102,32767,1
628,643,-28067,32767,1
629,644,-28028,32767,1
630,645,-27985,32767,1
631,646,-27939,32767,1
632,647,-27890,32767,1
633,648,-27837,32767,1
634,649,-27782,32767,1
635,650,-27723,32767,1
636,651,-27661,32767,1
637,652,-27596,32767,1
638,653,-27528,32767,1
639,654,-27457,32767,1
640,655,-27383,32767,1
641,656,-27307,32767,1
642,657,-27227,32767,1
643,658,-27145,32767,1
644,659,-27061,32767,1
645,660,-26974,32767,1
646,661,-26884,32767,1
647,662,-26792,32767,1
648,663,-26697,32767,1
649,664,-26600,32767,1
650,665,-26501,32767,1
651,666,-26400,32767,1
652,667,-26297,32767,1
653,668,-26191,32767,1
654,669,-26084,32767,1
655,670,-25975,32767,1
656,671,-25863,32767,1
657,672,-25750,32767,1
658,673,-25636,32767,1
659,674,-25519,32767,1
660,675,-25401,32767,1
661,676,-25282,32767,1
662,677,-25161,32767,1
663,678,-25039,32767,1
664,679,-24915,32767,1
665,680,-24790,32767,1
666,681,-24664,32767,1
667,683,-24537,32767,1
668,684,-24280,32767,1
669,685,-24150,32767,1
670,686,-24019,32767,1
671,687,-23888,32767,1
672,688,-23755,32767,1
673,689,-23623,32767,1
674,690,-23489,32767,1
675,691,-23355,32767,1
676,692,-23221,32767,1
677,693,-23086,32767,1
678,694,-22952,32767,1
679,695,-22816,32767,1
680,696,-22681,32767,1
681,697,-22546,32767,1
682,698,-22411,32767,1
683,699,-22276,32767,1
684,700,-22140,32767,1
685,701,-22006,32767,1
686,702,-21871,32767,1
687,703,-21737,32767,1
688,704,-21603,32767,1
689,705,-21470,32767,1
690,706,-21337,32767,1
691,707,-21205,32767,1
692,708,-21073,32767,1
693,709,-20942,32767,1
694,710,-20812,32767,1
695,711,-20683,32767,1
696,712,-20555,32767,1
697,713,-20428,32767,1
698,714,-20302,32767,1
699,715,-20177,32767,1
700,716,-20053,32767,1
701,717,-19930,32767,1
702,718,-19809,32767,1
703,719,-19689,32767,1
704,720,-19570,32767,1
705,721,-19453,32767,1
706,722,-19337,32767,1
707,723,-19223,32767,1
708,724,-19110,32767,1
709,726,-18999,32767,1
710,727,-18783,32767,1
711,728,-18677,32767,1
712,729,-18573,32767,1
713,730,-18471,32767,1
714,731,-18372,32767,1
715,732,-18274,32767,1
716,733,-18178,32767,1
717,734,-18084,32767,1
718,735,-17993,32767,1
719,736,-17903,32767,1
720,737,-17816,32767,1
721,738,-17731,32767,1
722,739,-17649,32767,1
723,740,-17568,32767,1
724,741,-17490,32767,1
725,742,-17415,32767,1
726,743,-17342,32767,1
727,744,-17271,32767,1
728,745,-17203,32767,1
729,746,-17138,32767,1
730,747,-17075,32767,1
731,748,-17014,32767,1
732,749,-16956,32767,1
733,750,-16901,32767,1
734,751,-16849,32767,1
735,752,-16799,32767,1
736,753,-16752,32767,1
737,754,-16708,32767,1
738,755,-16666,32767,1
739,756,-16628,32767,1
740,757,-16592,32767,1
741,758,-16559,32767,1
742,759,-16528,32767,1
743,760,-16501,32767,1
744,761,-16476,32767,1
745,762,-16455,32767,1
746,763,-16436,32767,1
747,764,-16420,32767,1
748,765,-16407,32767,1
749,766,-16397,32767,1
750,767,-16389,32767,1
751,769,-16385,32767,1
752,770,-16385,32767,1
753,771,-16389,32767,1
754,772,-16397,32767,1
755,773,-16407,32767,1
756,774,-16420,32767,1
757,775,-16436,32767,1
758,776,-16455,32767,1
759,777,-16476,32767,1
760,778,-16501,32767,1
761,779,-16528,32767,1
762,780,-16559,32767,1
763,781,-16592,32767,1
764,782,-16628,32767,1
765,783,-16666,32767,1
766,784,-16708,32767,1
767,785,-16752,32767,1
768,786,-16799,32767,1
769,787,-16849,32767,1
770,788,-16901,32767,1
771,789,-16956,32767,1
772,790,-17014,32767,1
773,791,-17075,32767,1
774,792,-17138,32767,1
775,793,-17203,32767,1
776,794,-17271,32767,1
777,795,-17342,32767,1
778,796,-17415,32767,1
779,797,-17490,32767,1
780,798,-17568,32767,1
781,799,-17649,32767,1
782,800,-17731,32767,1
783,801,-17816,32767,1
784,802,-17903,32767,1
785,803,-17993,32767,1
786,804,-18084,32767,1
787,805,-18178,32767,1
788,806,-18274,32767,1
789,807,-18372,32767,1
790,808,-18471,32767,1
791,809,-18573,32767,1
792,811,-18677,32767,1
793,812,-18890,32767,1
794,813,-18999,32767,1
795,814,-19110,32767,1
796,815,-19223,32767,1
797,816,-19337,32767,1
798,817,-19453,32767,1
799,818,-19570,32767,1
800,819,-19689,32767,1
801,820,-19809,32767,1
802,821,-19930,32767,1
803,822,-20053,32767,1
804,823,-20177,32767,1
805,824,-20302,32767,1
806,825,-20428,32767,1
807,826,-20555,32767,1
808,827,-20683,32767,1
809,828,-20812,32767,1
810,829,-20942,32767,1
811,830,-21073,32767,1
812,831,-21205,32767,1
813,832,-21337,32767,1
814,833,-21470,32767,1
815,834,-21603,32767,1
816,835,-21737,32767,1
817,836,-21871,32767,1
818,837,-22006,32767,1
819,838,-22140,32767,1
820,839,-22276,32767,1
821,840,-22411,32767,1
822,841,-22546,32767,1
823,842,-22681,32767,1
824,843,-22816,32767,1
825,844,-22952,32767,1
826,845,-23086,32767,1
827,846,-23221,32767,1
828,847,-23355,32767,1
829,848,-23489,32767,1
830,849,-23623,32767,1
831,850,-23755,32767,1
832,851,-23888,32767,1
833,852,-24019,32767,1
834,854,-24150,32767,1
835,855,-24409,32767,1
836,856,-24537,32767,1
837,857,-24664,32767,1
838,858,-24790,32767,1
839,859,-24915,32767,1
840,860,-25039,32767,1
841,861,-25161,32767,1
842,862,-25282,32767,1
843,863,-25401,32767,1
844,864,-25519,32767,1
845,865,-25636,32767,1
846,866,-25750,32767,1
847,867,-25863,32767,1
848,868,-25975,32767,1
849,869,-26084,32767,1
850,870,-26191,32767,1
851,871,-26297,32767,1
852,872,-26400,32767,1
853,873,-26501,32767,1
854,874,-26600,32767,1
855,875,-26697,32767,1
856,876,-26792,32767,1
857,877,-26884,32767,1
858,878,-26974,32767,1
859,879,-27061,32767,1
860,880,-27145,32767,1
861,881,-27227,32767,1
862,882,-27307,32767,1
863,883,-27383,32767,1
864,884,-27457,32767,1
865,885,-27528,32767,1
866,886,-27596,32767,1
867,887,-27661,32767,1
868,888,-27723,32767,1
869,889,-27782,32767,1
870,890,-27837,32767,1
871,891,-27890,32767,1
872,892,-27939,32767,1
873,893,-27985,32767,1
874,894,-28028,32767,1
875,895,-28067,32767,1
876,897,-28102,32767,1
877,898,-28163,32767,1
878,899,-28188,32767,1
879,900,-28210,32767,1
880,901,-28228,32767,1
881,902,-28242,32767,1
882,903,-28252,32767,1
883,904,-28258,32767,1
884,905,-28261,32767,1
885,906,-28260,32767,1
886,907,-28254,32767,1
887,908,-28245,32767,1
888,909,-28232,32767,1
889,910,-28215,32767,1
890,911,-28193,32767,1
891,912,-28168,32767,1
892,913,-28138,32767,1
893,914,-28104,32767,1
894,915,-28067,32767,1
895,916,-28024,32767,1
896,917,-27978,32767,1
897,918,-27927,32767,1
898,919,-27872,32767,1
899,920,-27813,32767,1
900,921,-27749,32767,1
901,922,-27681,32767,1
902,923,-27609,32767,1
903,924,-27532,32767,1
904,925,-27451,32767,1
905,926,-27365,32767,1
906,927,-27275,32767,1
907,928,-27180,32767,1
908,929,-27081,32767,1
909,930,-26978,32767,1
910,931,-26870,32767,1
911,932,-26757,32767,1
912,933,-26640,32767,1
913,934,-26519,32767,1
914,935,-26393,32767,1
915,936,-26262,32767,1
916,937,-26127,32767,1
917,939,-25988,32767,1
918,940,-25696,32767,1
919,941,-25543,32767,1
920,942,-25385,32767,1
921,943,-25223,32767,1
922,944,-25057,32767,1
923,945,-24886,32767,1
924,946,-24710,32767,1
925,947,-24531,32767,1
926,948,-24347,32767,1
927,949,-24158,32767,1
928,950,-23965,32767,1
929,951,-23768,32767,1
930,952,-23566,32767,1
931,953,-23360,32767,1
932,954,-23150,32767,1
933,955,-22935,32767,1
934,956,-22716,32767,1
935,957,-22493,32767,1
936,958,-22266,32767,1
937,959,-22035,32767,1
938,960,-21799,32767,1
939,961,-21560,32767,1
940,962,-21316,32767,1
941,963,-21068,32767,1
942,964,-20817,32767,1
943,965,-20561,32767,1
944,966,-20301,32767,1
945,967,-20038,32767,1
946,968,-19771,32767,1
947,969,-19499,32767,1
948,970,-19225,32767,1
949,971,-18946,32767,1
950,972,-18664,32767,1
951,973,-18378,32767,1
952,974,-18088,32767,1
953,975,-17795,32767,1
954,976,-17499,32767,1
955,977,-17199,32767,1
956,978,-16896,32767,1
957,979,-16589,32767,1
958,980,-16279,32767,1
959,982,-15966,32767,1
960,983,-15331,32767,1
961,984,-15009,32767,1
962,985,-14683,32767,1
963,986,-14355,32767,1
964,987,-14024,32767,1
965,988,-13690,32767,1
966,989,-13353,32767,1
967,990,-13014,32767,1
968,991,-12672,32767,1
969,992,-12328,32767,1
970,993,-11981,32767,1
971,994,-11632,32767,1
972,995,-11280,32767,1
973,996,-10926,32767,1
974,997,-10570,32767,1
975,998,-10211,32767,1
976,999,-9851,32767,1
977,1000,-9489,32767,1
978,1001,-9125,32767,1
979,1002,-8758,32767,1
980,1003,-8391,32767,1
981,1004,-8021,32767,1
982,1005,-7650,32767,1
983,1006,-7277,32767,1
984,1007,-6903,32767,1
985,1008,-6527,32767,1
986,1009,-6150,32767,1
987,1010,-5772,32767,1
988,1011,-5392,32767,1
989,1012,-5012,32767,1
990,1013,-4630,32767,1
991,1014,-4248,32767,1
992,1015,-3864,32767,1
993,1016,-3480,32767,1
994,1017,-3095,32767,1
995,1018,-2710,32767,1
996,1019,-2324,32767,1
997,1020,-1937,32767,1
998,1021,-1550,32767,1
999,1022,-1163,32767,1
1000,1023,-775,32767,1
1001,1,-388,32767,1
1002,2,388,291,1
1003,3,775,581,1
1004,4,1163,872,1
1005,5,1550,1162,1
1006,6,1937,1452,1
1007,7,2324,1743,0
1008,8,2710,2032,0
1009,9,3095,2321,0
1010,10,3480,2610,1
1011,11,3864,2898,1
1012,12,4248,3186,1
1013,13,4630,3472,1
1014,14,5012,3759,0
1015,15,5392,4044,0
1016,16,5772,4329,0
1017,17,6150,4612,1
1018,18,6527,4895,1
1019,19,6903,5177,1
1020,20,7277,5457,1
1021,21,7650,5737,0
1022,22,8021,6015,0
1023,23,8391,6293,0
1024,24,8758,6568,1
1025,25,9125,6843,1
1026,26,9489,7116,1
1027,27,9851,7388,1
1028,28,10211,7658,0
1029,29,10570,7927,0
1030,30,10926,8194,1
1031,31,11280,8460,1
1032,32,11632,8724,1
1033,33,11981,8985,0
1034,34,12328,9246,0
1035,35,12672,9504,1
1036,36,13014,9760,1
1037,37,13353,10014,1
1038,38,13690,10267,1
1039,39,14024,10518,0
1040,40,14355,10766,0
1041,41,14683,11012,1
1042,43,15009,11256,1
1043,44,15650,11737,1
1044,45,15966,11974,1
1045,46,16279,12209,0
1046,47,16589,12441,0
1047,48,16896,12672,1
1048,49,17199,12899,1
1049,50,17499,13124,1
1050,51,17795,13346,1
1051,52,18088,13566,0
1052,53,18378,13783,0
1053,54,18664,13998,1
1054,55,18946,14209,1
1055,56,19225,14418,1
1056,57,19499,14624,1
1057,58,19771,14828,1
1058,59,20038,15028,0
1059,60,20301,15225,0
1060,61,20561,15420,1
1061,62,20817,15612,1
1062,63,21068,15801,1
1063,64,21316,15987,1
1064,65,21560,16170,1
1065,66,21799,16349,1
1066,67,22035,16526,0
1067,68,22266,16699,0
1068,69,22493,16869,1
1069,70,22716,17037,1
1070,71,22935,17201,1
1071,72,23150,17362,1
1072,73,23360,17520,1
1073,74,23566,17674,1
1074,75,23768,17826,0
1075,76,23965,17973,0
1076,77,24158,18118,1
1077,78,24347,18260,1
1078,79,24531,18398,1
1079,80,24710,18532,1
1080,81,24886,18664,1
1081,82,25057,18792,1
1082,83,25223,18917,1
1083,84,25385,19038,0
1084,86,25543,19157,0
1085,87,25844,19383,1
1086,88,25988,19491,1
1087,89,26127,19595,1
1088,90,26262,19696,1
1089,91,26393,19794,1
1090,92,26519,19889,1
1091,93,26640,19980,1
1092,94,26757,20067,1
1093,95,26870,20152,0
1094,96,26978,20233,0
1095,97,27081,20310,1
1096,98,27180,20385,1
1097,99,27275,20456,1
1098,100,27365,20523,1
1099,101,27451,20588,1
